pbu_type,panel_id,a_len,b_len,height,has_recess,has_ceiling,num_openings
1a,1a/C02,1940,2875,2650,0,1,2
1a,1a/C03,625,1890,2650,1,0,0
1a,1a/C04,1010,1315,2650,1,0,1
1b,1b/C02,1940,2875,2650,0,1,1
1b,1b/C03,625,1890,2650,1,0,1
1b,1b/C04,1010,1315,2650,1,0,1
1c,1c/C02,1940,2875,2650,0,1,1
1c,1c/C03,625,1890,2650,1,0,0
1c,1c/C04,1010,1315,2650,1,0,2
1c-m,1c-m/C02,1940,2875,2650,0,1,1
1c-m,1c-m/C03,625,1890,2650,1,0,0
1c-m,1c-m/C04,1010,1315,2650,1,0,2
1d,1d/C02,1940,2875,2650,0,1,1
1d,1d/C03,625,1890,2650,1,0,1
1d,1d/C04,1010,1315,2650,1,0,1
1e,1e/C02,1940,2875,2650,0,1,1
1e,1e/C03,625,1890,2650,1,0,0
1e,1e/C04,1010,1315,2650,1,0,2
2a,2a/C02,1930,2865,2650,0,1,1
2a,2a/C03,625,1880,2650,1,0,0
2a,2a/C04,1010,1305,2650,1,0,2
2b,2b/C02,1930,2865,2650,0,1,1
2b,2b/C03,625,1880,2650,1,0,0
2b,2b/C04,1010,1305,2650,1,0,2
2b-m,2b-m/C02,1930,2865,2650,0,1,1
2b-m,2b-m/C03,625,1880,2650,1,0,0
2b-m,2b-m/C04,1010,1305,2650,1,0,2
3a,3a/C02,1640,2625,2650,1,1,1
3a,3a/C03,525,1665,2650,1,1,0
3a,3a/C04,1035,1115,2650,1,1,1
3a(a),3a(a)/C02,1640,2625,2650,1,1,1
3a(a),3a(a)/C03,525,1665,2650,1,1,0
3a(a),3a(a)/C04,1035,1115,2650,1,1,1
3a-m,3a-m/C02,1640,2625,2650,1,1,1
3a-m,3a-m/C03,525,1665,2650,1,1,0
3a-m,3a-m/C04,1035,1115,2650,1,1,1
3a-m(a),3a-m(a)/C02,1640,2625,2650,1,1,1
3a-m(a),3a-m(a)/C03,525,1665,2650,1,1,0
3a-m(a),3a-m(a)/C04,1035,1115,2650,1,1,1
3b,3b/C02,1640,2625,2650,1,1,1
3b,3b/C03,525,1665,2650,1,1,0
3b,3b/C04,1035,1115,2650,1,1,1
3b(a),3b(a)/C02,1640,2625,2650,1,1,1
3b(a),3b(a)/C03,525,1665,2650,1,1,0
3b(a),3b(a)/C04,1035,1115,2650,1,1,1
3b-m,3b-m/C02,1640,2625,2650,1,1,1
3b-m,3b-m/C03,525,1665,2650,1,1,0
3b-m,3b-m/C04,1035,1115,2650,1,1,1
3b-m(a),3b-m(a)/C02,1640,2625,2650,1,1,1
3b-m(a),3b-m(a)/C03,525,1665,2650,1,1,0
3b-m(a),3b-m(a)/C04,1035,1115,2650,1,1,1
4a,4a/C02,1340,2725,2650,1,1,1
4a,4a/C03,1740,1815,2650,1,1,1
4a,4a/C04,625,960,2650,1,0,1
4a(a),4a(a)/C02,1340,2725,2650,1,1,1
4a(a),4a(a)/C03,1740,1815,2650,1,1,1
4a(a),4a(a)/C04,625,960,2650,1,0,1
4b,4b/C02,1340,2725,2650,1,1,1
4b,4b/C03,1740,1815,2650,1,1,1
4b,4b/C04,625,960,2650,1,0,1
4b(a),4b(a)/C02,1340,2725,2650,1,1,1
4b(a),4b(a)/C03,1740,1815,2650,1,1,1
4b(a),4b(a)/C04,625,960,2650,1,0,1
4b-m,4b-m/C02,1340,2725,2650,1,1,1
4b-m,4b-m/C03,1740,1815,2650,1,1,1
4b-m,4b-m/C04,625,960,2650,1,0,1
4b-m(a),4b-m(a)/C02,1340,2725,2650,1,1,1
4b-m(a),4b-m(a)/C03,1740,1815,2650,1,1,1
4b-m(a),4b-m(a)/C04,625,960,2650,1,0,1
5a,5a/C02,1440,2550,2650,1,1,1
5a,5a/C03,1640,1740,2650,1,1,1
5a,5a/C04,625,960,2650,1,0,1
5a(a),5a(a)/C02,1440,2550,2650,1,1,1
5a(a),5a(a)/C03,1640,1740,2650,1,1,1
5a(a),5a(a)/C04,625,960,2650,1,0,1
